bag_verblijfsobject_id,nummer,soort_woning
0599010110008823,77774000050,Onzelfstandig
0599010000325580,51159000021,Onzelfstandig
0599010110005510,75077000032,Onzelfstandig
0599010000325676,51160000015,Onzelfstandig
0599010110024925,71526000057,Onzelfstandig
0599010000028673,71361000067,Zelfstandig
0599010000361231,71391000039,Zelfstandig
0599010000199623,71232000019,Zelfstandig
0599010000073050,71272000009,Zelfstandig
0599010000277388,71272000027,Zelfstandig
0599010000242454,88071000045,Zelfstandig
0599010000331157,11411000009,Zelfstandig
0599010000250532,87371000004,Zelfstandig
0599010000187796,71232000047,Zelfstandig
0599010000247944,88091000029,Zelfstandig
0599010000300286,88231000014,Zelfstandig
0599010000037602,77441000027,Onzelfstandig
0599010000182112,81814000001,Zelfstandig
0599010000144978,77771000018,Zelfstandig
0599010000193167,77791000040,Zelfstandig
0599010000149689,67801000138,Zelfstandig
0599010000107916,49432000037,Zelfstandig
0599010000336315,11361000019,Zelfstandig
0599010000254628,87441000038,Zelfstandig
0599010000077485,85321000021,Zelfstandig
0599010000331744,85051000013,Zelfstandig
0599010000323616,74251000148,Zelfstandig
0599010000283542,67733000052,Zelfstandig
0599010000033539,81809000002,Zelfstandig
0599010000252218,88081000027,Zelfstandig
0599010000247030,88081000048,Zelfstandig
0599010000246619,88081000025,Zelfstandig
0599010000182944,48461000051,Zelfstandig
0599010000317401,44902000041,Zelfstandig
0599010000408892,77251000045,Zelfstandig
0599010000253120,11541000018,Zelfstandig
0599010000333488,74261000015,Zelfstandig
0599010000266209,77871000012,Zelfstandig
0599010000150735,45912000031,Zelfstandig
0599010000035876,44882000002,Zelfstandig
0599010000208373,77033000003,Onzelfstandig
0599010000250959,87624000008,Zelfstandig
0599010000272077,67811000068,Zelfstandig
0599010000251807,87618000016,Zelfstandig
0599010000344393,48961000059,Zelfstandig
0599010000325471,74931000008,Zelfstandig
0599010000482775,77792000026,Onzelfstandig
0599010000482731,77793000019,Onzelfstandig
0599010000484706,36360000043,Onzelfstandig
0599010400017882,71424000018,Onzelfstandig
0599010000487636,51070000117,Onzelfstandig
0599010400007475,77450000009,Onzelfstandig
0599010400007759,77884000023,Onzelfstandig
0599010400003165,36359000127,Onzelfstandig
0599010400014091,41154000023,Onzelfstandig
0599010400013977,87403000033,Onzelfstandig
0599010400014068,41154000059,Onzelfstandig
0599010400019871,77744000007,Onzelfstandig
0599010000206551,10004000024,Zelfstandig
0599010000194499,60001000009,Zelfstandig
0599010400027963,15004000230,Onzelfstandig
0599010000486943,17000000337,Zelfstandig
0599010000487185,17000000615,Onzelfstandig
0599010000436984,12203000044,Zelfstandig
0599010000142399,10012000087,Onzelfstandig
0599010400027519,19001000055,Onzelfstandig
0599010400027523,19001000057,Onzelfstandig
0599010000136624,19001000061,Zelfstandig
0599010000487026,17000000369,Zelfstandig
0599010000483105,25071000058,Zelfstandig
0599010400026991,10008000008,Onzelfstandig
0599010400027420,16002000215,Onzelfstandig
0599010400025699,20001000048,Onzelfstandig
0599010000480564,25070000122,Onzelfstandig
0599010400026556,18002000007,Onzelfstandig
0599010000266109,19002000074,Zelfstandig
0599010000291790,20000000019,Onzelfstandig
0599010000480564,25070000022,Onzelfstandig
0599010000043470,10012000032,Onzelfstandig
0599010000486650,17000000025,Zelfstandig
0599010400026257,20002000371,Onzelfstandig
0599010400026126,20002000183,Onzelfstandig
0599010000360045,20004000206,Onzelfstandig
0599010400026574,42028000005,Onzelfstandig
0599010000015057,42034000039,Onzelfstandig
0599010000239090,49000000028,Onzelfstandig
0599010400027595,47021000036,Onzelfstandig
0599010400025602,45004000013,Onzelfstandig
0599010400027561,47016000004,Onzelfstandig
0599010400028219,44000000183,Onzelfstandig
0599010000246544,44000000194,Zelfstandig
0599010000482153,47024000022,Onzelfstandig
0599010000346652,45004000157,Zelfstandig
0599010000160888,49000000134,Onzelfstandig
0599010400028193,44000000140,Onzelfstandig
0599010000205910,77746000028,Onzelfstandig
0599010400029483,81020000009,Onzelfstandig
0599010400036640,36198000021,Onzelfstandig
0599010400040769,35166000016,Onzelfstandig
0599010110000531,71018000002,Onzelfstandig
0599010110003295,51158000061,Onzelfstandig
0599010110008779,77774000014,Onzelfstandig
0599010000320321,12122000056,Onzelfstandig
0599010110009790,36202000008,Onzelfstandig
0599010000325672,51160000034,Onzelfstandig
0599010000327826,51161000047,Onzelfstandig
0599010000359888,71381000011,Zelfstandig
0599010000323907,74861000012,Zelfstandig
0599010000073054,71273000022,Zelfstandig
0599010000078602,71351000054,Zelfstandig
0599010000287492,71810000026,Zelfstandig
0599010000081981,45931000011,Zelfstandig
0599010000323409,74461000020,Zelfstandig
0599010000251047,87624000103,Zelfstandig
0599010000230425,89611000109,Zelfstandig
0599010400017620,74231000010,Zelfstandig
0599010000199636,71810000014,Zelfstandig
0599010000134544,67801000030,Zelfstandig
0599010000079529,85511000009,Zelfstandig
0599010000247411,87441000033,Zelfstandig
0599010000195180,49361000034,Zelfstandig
0599010000185689,85561000001,Zelfstandig
0599010000253629,87701000001,Zelfstandig
0599010000155300,77551000014,Zelfstandig
0599010000224105,77761000049,Zelfstandig
